HGNC symbol	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name
	54786460	54798282	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1
	52058490	52063703	19
KIR2DS4	54832710	54847746	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1
	1376773	1377520	19
	45321077	45321692	15
	1372238	1374364	19
CFAP99	2418974	2462942	4
KRTAP10-11	44646414	44647650	21
CHMP7	23243637	23262000	8
HLA-N	30341216	30341350	CHR_HSCHR6_MHC_COX_CTG1
IMMTP1	44675868	44678086	21
	21534404	21535346	15
	21542990	21544008	15
KRTAP10-3	44557790	44558760	21
CMTM8	32238679	32370321	3
BPIFB1	33273480	33309871	20
	78293286	78296049	15
KRTAP10-12	44697172	44698044	21
FOXQ1	1312098	1314758	6
WDR61	78277835	78299703	15
LILRB2	54274450	54281944	CHR_HSCHR19LRC_PGF2_CTG3_1
SNX17	27370496	27377535	2
KRTAP10-4	44573724	44638284	21
SMIM14	39546336	39638902	4
FANCI	89243949	89317261	15
	5730289	5731085	17
	2463797	2464124	4
MILR1	64449037	64468643	17
	2607870	2608146	4
KRT18P15	32258940	32260230	3
	32243847	32244018	3
HDHD5	17137511	17165287	22
POLR2LP1	31219263	31219449	CHR_HSCHR6_MHC_MCF_CTG1
	45330209	45332634	15
HIF1A	61695513	61748259	14
	68848742	68852763	8
HNRNPA1P30	20938564	20949599	13
RNF4	2462220	2625320	4
KRTAP10-5	44579455	44580604	21
MMP11	23768226	23784316	22
KRTAP10-8	44612079	44612954	21
LINC01592	68911803	69104190	8
KRTAP12-4	44654213	44654659	21
	50202001	50262994	7
KRTAP10-7	44600597	44602174	21
	45883640	45884113	3
	5772234	5930696	17
	85754941	85756237	15
	103020187	103021428	8
LZTFL1	45823316	45916042	3
WSCD1	6057807	6124427	17
	99082449	99082761	6
GPC5-IT1	92484606	92510094	13
	69129598	69130345	8
	91485793	91486870	13
BDH2P1	99174744	99175479	6
	92446470	92449056	13
SDAD1P1	26375913	26382953	8
VWA7	31832609	31844312	CHR_HSCHR6_MHC_APD_CTG1
FABP5P4	92180715	92180885	13
	50274790	50275622	7
	92658994	92659227	13
	85770990	85771163	15
GPC5	91398621	92873682	13
KLHL25	85759326	85794925	15
	18893902	18894168	5
	18908866	18909543	5
CLDN34	9967358	9968352	X
LINC02673	27343436	27344917	10
RPL32P14	19041009	19041386	5
	18965861	19142346	5
	19035197	19038799	5
F2RL3	16888860	16892606	19
CLEC14A	38254103	38256369	14
LINC02502	119939540	119964293	4
	24632257	24632601	X
	119937557	119963898	4
PCYT1B-AS1	24650073	24658237	X
	91994518	91996523	13
	9247344	9252625	19
GPC5-AS2	92339794	92340603	13
IGHV3-63	106676918	106677362	CHR_HSCHR14_3_CTG1
PCYT1B	24558087	24672677	X
POC5	75674124	75717481	5
GPC5-AS1	92701389	92721614	13
ELOVL2-AS1	11043524	11078226	6
	134941392	134942450	6
	63025597	63025993	9
	92239835	92241951	13
OR7E18P	9261015	9261716	19
ALDH8A1	134917393	134950115	6
BMS1P9	63055641	63059217	9
ARSEP1	12339813	12347495	Y
	17009189	17013460	19
FAM8A4P	12321623	12322835	Y
	11015586	11015888	6
TRIM10	30142269	30151257	CHR_HSCHR6_MHC_DBB_CTG1
ARSDP1	12354096	12387328	Y
ELOVL2	10980759	11044305	6
	50587607	50637205	6
ARSFP1	12252321	12258033	Y
GYG2P1	12088010	12421587	Y
CHCHD10	23765834	23768443	22
	66112667	66115207	8
	90249556	90272208	15
BHLHE40	4979116	4985323	3
	17414257	17422324	19
UBE2C	45812576	45816957	20
GOLGA2P8	90291962	90295683	15
	51367377	51369110	15
BISPR	17405686	17419324	19
MGAT5B	76868456	76950393	17
	61684892	61685388	10
TFAP2D	50713828	50772988	6
RPL10AP6	61742455	61743106	3
	4448810	4450836	19
	134394360	134395008	5
	90275129	90275716	15
	62124204	62124608	3
GLDN	51341655	51408005	15
CABCOCO1	61662961	61766766	10
CHAF1A	4402640	4445018	19
PTPRG-AS1	62260865	62369330	3
TTLL13P	90249530	90265482	15
	134399495	134401921	5
GPR12	26755200	26760786	13
RPS24P1	12244752	12245457	Y
C22orf15	23763021	23765861	22
CDKN2AIPNL	134402065	134411881	5
IGHV3-64	106682404	106682939	CHR_HSCHR14_3_CTG1
HSPD1P15	19233366	19234487	5
	31305685	31314548	11
CYCSP25	31280672	31280987	11
	5772926	6080792	17
SMDT1	42079691	42084284	CHR_HSCHR22_2_CTG1
DCDC1	30830369	31369810	11
LRRC37A5P	111602831	111631289	9
ITM2B	48232612	48270357	13
ODAM	70196496	70204576	4
BHLHE40-AS1	4896809	4979961	3
	90266317	90314499	15
CIB1	90229975	90234047	15
IGHV3-65	106690773	106691213	CHR_HSCHR14_3_CTG1
	20158662	20158956	5
IGHVII-65-1	106696478	106696725	CHR_HSCHR14_3_CTG1
CDH18-AS1	20305565	20347972	5
IGHV3-66	106699696	106700225	CHR_HSCHR14_3_CTG1
	30349077	30349710	CHR_HSCHR6_MHC_COX_CTG1
DNAJC25-GNG10	111631386	111670229	9
	4447304	4448217	19
CDH18	19471296	20575873	5
CCDC197	93997270	94008863	CHR_HSCHR14_7_CTG1
	4429689	4430934	19
	4454014	4455286	19
HDHD5-AS1	17159384	17165445	22
	45034	46047	18
C3orf14	62318973	62336213	3
DNAJC25	111631334	111654351	9
TUBB8P12	47390	49557	18
	20725331	20734526	Y
MRRF	122264603	122331337	9
TBL1YP1	20727254	20742900	Y
	5142138	5176214	5
	54575908	54581617	CHR_HSCHR19LRC_COX1_CTG3_1
OR11K1P	21595684	21596526	15
	49815	73545	18
	21609102	21610043	15
CASS4	56412112	56460387	20
ADAMTS16	5140330	5320304	5
	21614118	21615051	15
	10342813	10343131	5
OGDHL	49734641	49762379	10
	21651844	21652968	15
	10352701	10353601	5
LINC02203	21552815	21557161	15
CMTM7	32391671	32483067	3
PPIAP27	20956179	20956443	13
	20042455	20042940	6
LINC02203	21552795	21653276	15
RPSAP54	20961310	20962195	13
UBQLN1P1	30352921	30354089	CHR_HSCHR6_MHC_COX_CTG1
APPBP2	60443158	60526242	17
GNG10	111661605	111670226	9
	25061796	25134971	6
FAM210CP	27349717	27350290	10
	90284376	90285580	15
TRIAP1P1	27378138	27378362	10
CARMIL1	25279078	25620530	6
ZNF513	27377235	27380790	2
	90234200	90265462	15
USPL1	30617693	30660770	13
	21637909	21638992	15
	27775621	27776798	15
GDPGP1	90233808	90245811	15
CYTH3	6161776	6272644	7
LILRA2	54581134	54595774	CHR_HSCHR19_4_CTG3_1
PTCHD3	27397121	27414368	10
	21574225	21575207	15
OCA2	27754875	28099315	15
LINC01394	1321698	1324022	6
	1383790	1385066	6
TCEA1P4	32979560	32980403	9
FOXF2	1389576	1395603	6
LAGE3P1	33019682	33020165	9
	86117912	86219926	4
RPL39P	56459428	56459583	20
	36768122	36769725	1
	17417031	17418288	19
PTPRG	61561569	62297609	3
OR11H13P	19180291	19181269	14
	51351100	51351192	15
	19199763	19200279	14
APTX	32972606	33025168	9
MVB12A	17405722	17433724	19
ARHGAP24	85475150	86002668	4
	19220796	19220912	14
	90281858	90282270	15
TOMM7	22812628	22822852	7
	76950317	76969156	17
OR7E19P	9265440	9268819	19
	19228898	19229945	14
	90281848	90282031	15
NGRN	90265659	90278141	15
OFD1	13734745	13769357	X
LINC01782	32102088	32105916	19
OR7H1P	9278448	9279369	19
	76957023	76958222	17
	32103583	32106537	19
	1513698	1515289	6
TRIM55	66126896	66175485	8
	76966285	76969530	17
	126364076	126364938	CHR_HSCHR12_4_CTG2_1
ZNF699	9294275	9309838	19
	38290953	38311930	14
	103164581	103165294	CHR_HSCHR7_1_CTG4_4
	19268853	19337730	14
	38605255	38606098	14
EFCAB14-AS1	46674036	46692098	1
KRT8P1	38727275	38728481	14
	60513190	60513550	17
	45842265	45866571	3
CCR9	45886504	45903175	3
	770005	770113	5
LINC00639	38749339	38948273	14
EFCAB14	46675159	46719114	1
ZDHHC11B	710355	784729	5
	9291515	9294482	19
CMTM6	32481312	32502852	3
	35424062	35424652	19
PSMB5	23016543	23035230	14
RBM24	17281361	17293871	6
	35432957	35434642	19
	19267115	19268164	14
AQP7P4	63127359	63143401	9
	19244962	19247673	14
	75368155	75369584	15
	63111255	63127100	9
	36773140	36775768	1
	19244904	19269380	14
	75452964	75453947	15
RPL13AP3	55766177	55767717	14
BMS1P17	19301704	19316914	14
	55748208	55773203	14
FAXC	99271168	99350062	6
SIN3A	75369379	75455842	15
	38835389	38835788	14
BPIFB5P	33316869	33329969	20
	3083252	3086421	7
	109269634	109278512	13
BPIFB9P	33347720	33354444	20
GRIK3	36795527	37034515	1
	78290527	78291221	15
BRD9P2	767382	768930	5
	78299701	78299924	15
LINC00370	109281973	109297690	13
	87848113	87853442	9
	20304045	20305448	5
	78280950	78282190	15
MSGN1	17816496	17817101	2
FGFR1OP2P1	26905362	26905861	13
IGHV1-67	106705284	106705723	CHR_HSCHR14_3_CTG1
	26965967	26991996	13
	52110318	52110726	19
DNAJA4	78264086	78282196	15
RPS21P8	26977543	26977789	13
BTG3	17604145	17612947	CHR_HSCHR21_6_CTG1_1
	48383323	48384895	20
RPS20P32	27017554	27017909	13
	48407367	48410716	20
	19200335	19201046	9
	38973399	38974085	14
RB1-DT	48296513	48303661	13
TPM2	35681992	35690121	9
	3140234	3174654	7
FAM227A	38578120	38656629	22
FFAR2	35443907	35451767	19
SMIM13	11093834	11138733	6
DDX6P1	29329677	29331112	CHR_HSCHR6_MHC_DBB_CTG1
GPR137	64270062	64289500	11
	23023083	23024217	14
	25272200	25273751	6
PRKCI	170222424	170305977	3
FXNP1	78059942	78060278	14
ERVFRD-1	11102489	11111725	6
	25181359	25181745	6
	21655154	21656539	CHR_HSCHR19_2_CTG2
LINC01141	20360579	20431234	1
EPHB6	142916237	142932255	CHR_HSCHR7_2_CTG6
MEOX1	43640389	43661922	17
KATNBL1P5	25248263	25248779	6
MTDHP4	21687036	21687706	CHR_HSCHR19_2_CTG2
	25261239	25261731	6
	21719001	21719670	CHR_HSCHR19_2_CTG2
	25140003	25141403	6
	11154929	11155150	6
TTC37	95461755	95555007	5
APBB3	140558268	140564781	5
VN1R84P	21729280	21729514	CHR_HSCHR19_2_CTG2
BTG3-AS1	17611744	17633199	CHR_HSCHR21_6_CTG1_1
CMAHP	25061626	25452263	6
MPIG6B	31706001	31714117	CHR_HSCHR6_MHC_COX_CTG1
HNRNPA1P38	141464977	141465933	CHR_HSCHR8_5_CTG7
	1528364	1528911	6
DNAJC11	6634168	6701924	1
	85958717	85958971	15
	65209921	65210948	5
	126365344	126367107	CHR_HSCHR12_4_CTG2_1
	1160740	1186922	CHR_HSCHR8_6_CTG1
RPEP1	65251127	65251784	5
RPL23AP95	103152009	103152327	CHR_HSCHR7_1_CTG4_4
ADAMTS6	65148738	65481920	5
	1247928	1260201	CHR_HSCHR8_6_CTG1
BRI3BPP1	21760226	21762917	CHR_HSCHR19_2_CTG2
	50388489	50400097	7
	126406834	126411516	CHR_HSCHR12_4_CTG2_1
	52130548	52171533	19
	20412304	20413253	1
FOXCUT	1601654	1607354	6
ZNF100	21732245	21777028	CHR_HSCHR19_2_CTG2
RPL37P23	52143043	52143336	19
NEDD9	11183298	11382348	6
	21683038	21683962	15
IKZF1	50304068	50405101	7
ZNF616	52113091	52139938	19
SF1	64764606	64778786	11
C20orf27	3753508	3768387	20
DNAH3	20933111	21159441	16
GOLPH3	32124716	32174319	5
PRB1	11351822	11356402	CHR_HSCHR12_5_CTG2
LRIT2	84220495	84225589	10
HIF1A-AS1	61681041	61695823	14
HIF1A-AS2	61715558	61751097	14
	86932880	86946331	15
	61734138	61776260	14
	86938797	86988426	15
CACNA1I	39570753	39689737	22
AGBL1	86079973	87029052	15
SNHG26	22854178	22861579	7
ZNF836	52153864	52171643	19
RPL5P32	27895704	27896582	15
OSTC	108650585	108667820	4
	21703428	21705627	15
EFEMP1	55865967	55924139	2
	21709649	21710270	15
RPS4Y2	20756164	20781032	Y
	21717808	21718245	15
LINC01067	109310135	109311773	13
GPR32	50770464	50771732	19
FOXC1	1609915	1613897	6
LINC00520	55781132	55796731	14
LINC00399	109400696	109401641	13
	52171158	52177002	19
LINC00676	109728282	109730007	13
	52142626	52144156	19
	109478739	109731700	13
RBM18	122237622	122264840	9
	50776141	50793142	19
KCNS3	17877847	18361616	2
DGKQ	958887	986895	4
LATS2	20973036	21061586	13
	50792685	50793584	19
ACP4	50790415	50795224	19
LINC00648	47764954	47795092	14
MOG	29653572	29668964	CHR_HSCHR6_MHC_COX_CTG1
	21735506	21735945	15
	21742364	21742799	15
LATS2-AS1	21005157	21018122	13
HSFY4P	20808776	20811809	Y
	20843256	20843710	Y
RPS12P23	21094315	21094714	13
GAPDHP17	20861337	20862337	Y
LINC01584	86078809	86116717	15
	43388642	43389041	20
AFMID	78187317	78207701	17
EIF4EBP2P1	43423196	43423538	20
IPPKP1	21103003	21104371	13
	134422838	134423335	5
TMEM167AP1	20907344	20907562	Y
	134429051	134460615	5
	21038289	21044724	Y
	134436711	134492519	5
	22863874	22881350	7
TOMM22P1	21130870	21131181	Y
AGBL1-AS1	86295649	86317173	15
ARMC10	103086630	103099764	CHR_HSCHR7_1_CTG4_4
	17419305	17419774	19
LINC01843	134506552	134509229	5
PHACTR4	28369582	28500364	1
	25152547	25152883	6
	69175579	69178189	8
	25218688	25219069	6
	134522613	134523096	5
	2505081	2506279	4
	86630266	86631136	15
MICC	30404517	30409122	CHR_HSCHR6_MHC_COX_CTG1
	86139838	86140240	15
	11173452	11259099	6
RPL23AP82	50756948	50801309	22
FAM193A	2536631	2732565	4
	20212087	20317739	6
MBOAT1	20102145	20212399	6
EXOC6	92834713	93059493	10
	120035033	120040615	4
PLEKHM1	45435902	45490401	CHR_HSCHR17_2_CTG5
POLRMT	617221	633537	19
	18010643	18011822	17
	3196626	3198256	7
RTP4	187368385	187372076	3
RGR	84230666	84259960	10
	27077218	27077962	13
ATPAF2	17977409	18039209	17
USP12	27066156	27171811	13
CNTNAP1	42682531	42699993	17
	187383101	187384849	3
AMPD3	10308313	10507579	11
LINC02041	187448845	187449450	3
	65415353	65416222	5
SLC25A51P2	7134931	7135819	18
SLC6A1	10992186	11039247	3
TMPOP1	30456371	30457898	CHR_HSCHR6_MHC_COX_CTG1
MAD2L1	120055623	120066858	4
	139678620	139682564	3
	139688403	139689342	3
OTUB2	94026329	94049624	CHR_HSCHR14_7_CTG1
LINC02625	61781745	61821246	10
	21120758	21130108	16
BAD	64269830	64284704	11
TRMT112P5	139845078	139845411	3
	139837220	139859894	3
TMEM159	21158377	21180616	16
OR10C1	29439235	29440906	CHR_HSCHR6_MHC_DBB_CTG1
	20478779	20480397	1
	20476222	20478937	1
NAPEPLD	103099776	103149564	CHR_HSCHR7_1_CTG4_4
OR12D2	29396471	29397539	CHR_HSCHR6_MHC_DBB_CTG1
SLC20A1P1	106708076	106709031	CHR_HSCHR14_3_CTG1
SUCLA2P1	30458739	30460108	CHR_HSCHR6_MHC_COX_CTG1
IGHVII-67-1	106711198	106711243	CHR_HSCHR14_3_CTG1
PSMB11	23042167	23043331	14
RANP1	30475795	30476445	CHR_HSCHR6_MHC_COX_CTG1
OR11A1	29425439	29457001	CHR_HSCHR6_MHC_DBB_CTG1
	54597653	54598499	CHR_HSCHR19_4_CTG3_1
OSBPL5	3087107	3166739	11
CAMK2N1	20482391	20486210	1
OR5V1	29422544	29431896	CHR_HSCHR6_MHC_DBB_CTG1
TFAP2B	50818723	50847619	6
SDK1	3301252	4269000	7
OR12D3	29373478	29450027	CHR_HSCHR6_MHC_DBB_CTG1
E2F3-IT1	20437821	20440178	6
SLC26A1	979073	993440	4
OR12D1	29417201	29418163	CHR_HSCHR6_MHC_DBB_CTG1
E2F3	20401879	20493714	6
LRPPRC	43886224	43995989	2
LRRC30	7231125	7232047	18
	42679963	42682020	17
THAP3	6624866	6635586	1
ARID5B	61901684	62096944	10
CCR10	42678889	42683917	17
	7455844	7461135	18
LY6G6C	31706055	31709252	CHR_HSCHR6_MHC_COX_CTG1
KRTAP20-3	30642864	30643136	21
KRTAP21-3	30718525	30718777	21
SST	187668912	187670394	3
OR2H1	29457111	29464258	CHR_HSCHR6_MHC_DBB_CTG1
	42683187	42699466	17
	42132528	42132983	CHR_HSCHR22_2_CTG1
USP12-AS1	27162855	27169135	13
NDUFA6-DT	42090931	42148836	CHR_HSCHR22_2_CTG1
KRTAP21-1	30755015	30755428	21
	1604655	1622707	CHR_HSCHR8_7_CTG1
KRTAP21-4P	30741780	30742595	21
KRTAP21-2	30746794	30747233	21
	78250502	78264156	15
	30762682	30762882	21
KRTAP8-2P	30802242	30802427	21
IDUA	986997	1004564	4
	45452499	45463720	CHR_HSCHR17_2_CTG5
CASC23	8011278	8016489	11
DLGAP2	1627028	1708042	CHR_HSCHR8_7_CTG1
KRTAP8-3P	30806932	30807119	21
	28453541	28453934	1
	79769372	79871759	8
KRTAP8-1	30812697	30813252	21
WWC3	10015562	10144478	X
	3721628	3722488	17
	75346744	75347161	15
	123236079	123236370	5
HASPIN	3723903	3726699	17
LINC01607	79768142	79802842	8
RPL13P4	75388267	75388828	15
KRTAP7-1	30829039	30829759	21
ITGAE	3714628	3801188	17
NDUFA6	42085525	42090955	CHR_HSCHR22_2_CTG1
	29742604	29746182	CHR_HSCHR6_MHC_MCF_CTG1
MAN2C1	75355207	75368612	15
	29745422	29745646	CHR_HSCHR6_MHC_MCF_CTG1
MICE	29738863	29746102	CHR_HSCHR6_MHC_MCF_CTG1
	32373337	32417974	14
PKMP3	85659892	85660606	6
	1729770	1731018	CHR_HSCHR8_7_CTG1
	17981192	17981572	17
AKAP6	32329298	32837684	14
HLA-E	30479321	30484059	CHR_HSCHR6_MHC_COX_CTG1
CASP9	15490832	15526534	1
EPB41L4B	109171975	109320964	9
	42089630	42090028	CHR_HSCHR22_2_CTG1
	1761552	1764146	CHR_HSCHR8_7_CTG1
DRC3	17972813	18016889	17
	42148576	42150238	CHR_HSCHR22_2_CTG1
CYP2D6	42126481	42130888	CHR_HSCHR22_2_CTG1
	48471308	48472414	20
	72316599	72317436	6
	48476999	48477553	20
CLN8	1755340	1786132	CHR_HSCHR8_7_CTG1
JRKL-AS1	96447132	96506826	11
JRKL	96389989	96507574	11
	4633065	4635654	8
PAICSP4	4787332	4788584	8
RIMS1	71886703	72403143	6
MRPS18B	30696164	30704850	CHR_HSCHR6_MHC_MCF_CTG1
	100335563	100346390	10
	3373353	3375226	8
	47801926	47802201	14
	96508425	96514748	11
CRYZP1	103088664	103089610	CHR_HSCHR7_1_CTG4_4
	92878092	92878289	10
	103141340	103141930	CHR_HSCHR7_1_CTG4_4
	96590317	96713822	11
	21752278	21752710	15
CSMD1	2935353	4994972	8
	96642671	96643225	11
	17659276	17660384	CHR_HSCHR21_6_CTG1_1
SRSF6	43457896	43464243	20
	17705408	17707455	CHR_HSCHR21_6_CTG1_1
NUDT9	87422573	87459455	4
	17732440	17742196	CHR_HSCHR21_6_CTG1_1
	87857015	87859599	9
	1757770	1760009	CHR_HSCHR8_7_CTG1
	87864096	87866291	9
LRIT1	84231593	84241461	10
	125344085	125344797	3
DUTP1	125310881	125311350	3
SPATA31E1	87882826	87888899	9
ZNF148	125225561	125375354	3
POTEB	21846329	21877703	15
RPL12P10	22881893	22882390	7
	55896547	55962970	14
IL9RP4	80140	88570	18
	37133489	37136146	1
ABCF1	30560870	30586674	CHR_HSCHR6_MHC_QBL_CTG1
SPATA31C1	87914493	87923505	9
	123259949	123260118	4
	94202	94330	18
	108671953	108678874	4
	37262739	37325100	1
SPATA5	122923078	123319433	4
TPD52	80034745	80231232	8
	87944276	87945023	9
PELI2	56117814	56301524	14
SELENOM	31104772	31120069	22
	87956214	87956883	9
	21778251	21803339	CHR_HSCHR19_2_CTG2
	21809967	21810673	CHR_HSCHR19_2_CTG2
OLA1P1	42107765	42108953	CHR_HSCHR22_2_CTG1
ZC3H7A	11750586	11797258	16
ZNF43	21814429	21818511	CHR_HSCHR19_2_CTG2
	3729361	3730493	17
DDX24	94050920	94081245	CHR_HSCHR14_7_CTG1
WWC3-AS1	10024842	10038654	X
	3904920	3911979	6
IGHVIII-67-2	106711794	106711881	CHR_HSCHR14_3_CTG1
	3913922	3914292	6
	56117316	56117990	14
CDKL5	18425583	18653629	X
IGHVIII-67-3	106717338	106717569	CHR_HSCHR14_3_CTG1
RPS29P6	37330852	37330996	1
XGY1	12440046	12507369	Y
LINC01137	37454879	37474411	1
FGD2	37005646	37029069	6
	3337889	3338601	7
PPP1R10	30678854	30697067	CHR_HSCHR6_MHC_MCF_CTG1
IGHVIII-67-4	106719783	106720078	CHR_HSCHR14_3_CTG1
	7276031	7298872	6
	3264032	3302452	7
	55216660	55221616	19
	3921847	3922146	6
	4130181	4134837	7
	7340854	7342056	6
IGHV1-68	106728533	106728827	CHR_HSCHR14_3_CTG1
	3642815	3643784	7
TDGF1P4	3941282	3941801	6
	18547386	18548204	2
	55214287	55217281	19
CAGE1	7326656	7389742	6
IGHV1-69	106739363	106739862	CHR_HSCHR14_3_CTG1
	169770413	169772042	CHR_HSCHR6_1_CTG4
MYH1	10492307	10518542	17
MTND2P11	109300186	109301172	9
SCYL1	65525077	65538704	11
GLRX3P2	3978062	3979099	6
ERMARD	169751622	169781584	CHR_HSCHR6_1_CTG4
KRTAP11-1	30880644	30881555	21
ZC3H12A	37474580	37484377	1
	187702313	187733849	3
SAMMSON	69999550	70518064	3
IGHV2-70D	106748255	106748774	CHR_HSCHR14_3_CTG1
	71141125	71143253	14
SERPINB12	63556160	63567011	18
NEK4P1	17210469	17211347	CHR_HSCHR21_8_CTG1_1
SFRP5	97766751	97771999	10
	17299421	17299798	CHR_HSCHR21_8_CTG1_1
	187743686	187746028	3
	3982673	3984130	6
HLA-N	30415319	30415453	CHR_HSCHR6_MHC_APD_CTG1
BCL6	187721377	187745725	3
IGHV3-69-1	106752844	106753288	CHR_HSCHR14_3_CTG1
	4018843	4021215	6
RDH14	18554723	18560679	2
	4018713	4019202	6
	79611418	79633311	14
	79072132	79074767	14
	31113017	31113396	22
	71181456	71182106	14
	30423182	30423815	CHR_HSCHR6_MHC_APD_CTG1
	79661666	79791263	14
MTCO1P2	32484098	32484800	14
ROCK1P1	109065	122219	18
IGHV1-69-2	106761791	106762228	CHR_HSCHR14_3_CTG1
	79246668	79249023	14
	71212633	71218216	14
NT5C1B-RDH14	18555545	18589564	2
	71219100	71222724	14
	78695321	78698122	14
UBQLN1P1	30427014	30428182	CHR_HSCHR6_MHC_APD_CTG1
	78279572	78283376	14
MRPL21	68891276	68903835	11
	106774973	106775426	CHR_HSCHR14_3_CTG1
	78744398	78753878	14
	79199982	79201632	14
IGHV1-69D	106786363	106786859	CHR_HSCHR14_3_CTG1
RPS26P48	78231281	78231619	14
TUBB	30720352	30725426	6
	78703615	78709934	14
IGHV2-70	106794747	106795266	CHR_HSCHR14_3_CTG1
KRTAP19-8	31038159	31038476	21
IGHV3-71	106799336	106799794	CHR_HSCHR14_3_CTG1
UBE3AP2	31060600	31063168	21
NRXN3	78170373	79868290	14
MICC	30478618	30483222	CHR_HSCHR6_MHC_APD_CTG1
IFITM4P	29747862	29748281	CHR_HSCHR6_MHC_MCF_CTG1
ALG3P1	5375723	5376836	5
IGHV3-72	106814867	106815409	CHR_HSCHR14_3_CTG1
MTCO1P30	5395378	5395957	5
MTCO2P30	5395972	5396335	5
LINC02569	30580177	30583131	CHR_HSCHR6_MHC_APD_CTG1
	70125070	70126609	3
UQCRHP4	70140217	70140488	3
MDFIC2	70196894	70312726	3
IGHV3-73	106826868	106827409	CHR_HSCHR14_3_CTG1
	71330342	71330738	14
	71586269	71590354	14
KIR2DL2	54754688	54769216	CHR_HSCHR19KIR_FH15_B_HAP_CTG3_1
GPR151	146513103	146516190	5
SIPA1L1	71320449	71741229	14
MTCO1P31	5396477	5396968	5
RIC3	8106056	8169055	11
NT5C1B	18562872	18589572	2
HINT2P1	2362258	2362738	3
DNAJC19P4	2985231	2985575	3
IL5RA	3066326	3126613	3
	18026072	18026771	17
	12661309	12663474	Y
	30723105	30723877	6
	48045481	48046216	14
CDY4P	12801973	12803830	Y
	48319068	48319394	14
MED14P1	12618983	12634402	Y
CCDC70	51861981	51866232	13
	48398310	48399375	14
USP9Y	12537650	12860839	Y
	48396508	48491767	14
RPL18P1	48489883	48490434	14
CTAGE3P	51908218	51910621	13
MYH4	10443290	10469559	17
	51921251	51921587	13
FAM220A	6329411	6348981	7
KRT8P48	146706381	146707600	5
NAGPA-AS1	5010909	5043999	16
CELA2B	15465909	15491400	1
	5078168	5078605	16
PPP2R2B	146581146	147084784	5
VILL	37988059	38007188	3
NAGPA	5024844	5034141	16
	6329412	6348959	7
RTTN	70003031	70205945	18
	48819360	48819593	14
	49057713	49077505	14
ETNPPL	108742048	108763054	4
LCK	32251239	32286165	1
CELA2A	15456728	15472091	1
	101139665	101140929	8
LSP1	1852970	1892267	11
	101166805	101169629	8
	10579040	10623036	17
LILRA1	54601794	54610302	CHR_HSCHR19_4_CTG3_1
MYH2	10521148	10549700	17
	201409	205009	4
USP14	158383	214629	18
	149738	150317	4
ZNF718	124501	202303	4
	8035446	8039718	11
	8075573	8077781	11
TUB	8019244	8106112	11
RTP2	187698259	187702557	3
TNNC2	45823214	45833745	20
	69446057	69446260	8
ZNF876P	212610	255985	4
LINC01603	69425035	69448244	8
MRPL3	131462212	131502983	3
	268982	269531	4
DELE1	141923855	141942047	5
B3GAT3P1	160452598	160453403	3
	160227454	160449829	3
SSR1	7268306	7347446	6
	18268080	18268828	17
COL27A1	114155537	114312511	9
SMC4	160399274	160434954	3
ACVR2B	38453890	38493142	3
	18570448	18571683	16
ABCC6P1	18571162	18598328	16
GATM	45361124	45402327	15
HAUS1P1	140581504	140582335	5
SLC35A4	140564828	140569100	5
KIAA0355	34351514	34355586	CHR_HSCHR19_2_CTG3_1
SHROOM2P1	12537773	12544883	Y
	140569962	140594570	5
IGHV3-74	106834616	106835307	CHR_HSCHR14_3_CTG1
	34358485	34359412	CHR_HSCHR19_2_CTG3_1
KIR2DS2	54738502	54752797	CHR_HSCHR19KIR_FH15_B_HAP_CTG3_1
	151333775	151353224	4
FAM160A1-DT	151407551	151408835	4
IGHVII-74-1	106845350	106845590	CHR_HSCHR14_3_CTG1
	109785831	109808252	13
	140562443	140592123	5
IGHV3-75	106847863	106848323	CHR_HSCHR14_3_CTG1
IRS2	109752695	109786583	13
IGHV3-76	106852045	106852339	CHR_HSCHR14_3_CTG1
	109805317	109805868	13
	3409133	3426587	8
	32127334	32184504	19
KIR3DL3	54724479	54736497	CHR_HSCHR19KIR_FH15_B_HAP_CTG3_1
TUB-AS1	8060038	8069373	11
CYP21A1P	32005636	32008451	6
	43206709	43207811	5
	43231812	43233173	5
	43225506	43225813	5
NIM1K	43192071	43280850	5
RS1	18639910	18672109	X
RAI14	34656328	34832612	5
GPX1	49357176	49358358	3
	63330326	63343660	9
AQP7P1	63317067	63333091	9
	93059663	93060426	10
SLMAP	57755450	57929168	3
	97401115	97419524	10
